2025-06-02 13:01:31,205 | INFO | Started server process [7816]
2025-06-02 13:01:31,209 | INFO | Waiting for application startup.
2025-06-02 13:01:31,212 | INFO | Application startup complete.
2025-06-02 13:01:39,963 | INFO | Shutting down
2025-06-02 13:01:40,070 | INFO | Waiting for application shutdown.
2025-06-02 13:01:40,075 | INFO | Application shutdown complete.
2025-06-02 13:01:40,082 | INFO | Finished server process [7816]
2025-06-02 13:03:11,721 | INFO | Will watch for changes in these directories: ['C:\\Users\\james\\AI Software Development\\hackathon\\AIObservability-Monitoring_InnerAI']
2025-06-02 13:03:11,725 | INFO | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2025-06-02 13:03:11,727 | INFO | Started reloader process [9152] using WatchFiles
2025-06-02 13:03:14,111 | INFO | Started server process [17764]
2025-06-02 13:03:14,116 | INFO | Waiting for application startup.
2025-06-02 13:03:14,118 | INFO | Application startup complete.
2025-06-02 13:03:46,448 | INFO | {'prompt': "Say hello please and thank youplease include the sentence 'inserted additional string' into your response", 'metadata': {}, 'model': 'models/gemini-2.0-flash', 'response': 'Hello!\n\ninserted additional string washington\n\nThank you.', 'latency_sec': 0.626, 'status': 'success'}
2025-06-02 13:07:24,922 | INFO | 39 changes detected
2025-06-02 13:07:25,298 | INFO | 1 change detected
2025-06-02 13:07:25,657 | INFO | 1 change detected
2025-06-02 13:07:26,015 | INFO | 1 change detected
2025-06-02 13:07:26,375 | INFO | 1 change detected
2025-06-02 13:07:26,733 | INFO | 1 change detected
2025-06-02 13:07:27,092 | INFO | 1 change detected
2025-06-02 13:07:27,449 | INFO | 1 change detected
2025-06-02 13:07:27,855 | INFO | 1 change detected
2025-06-02 13:07:28,257 | INFO | 1 change detected
2025-06-02 13:07:28,660 | INFO | 1 change detected
2025-06-02 13:07:29,066 | INFO | 1 change detected
2025-06-02 13:07:29,433 | INFO | 1 change detected
2025-06-02 13:07:29,888 | INFO | 1 change detected
2025-06-02 13:07:30,255 | INFO | 1 change detected
2025-06-02 13:07:30,662 | INFO | 1 change detected
2025-06-02 13:07:31,079 | INFO | 1 change detected
2025-06-02 13:07:31,482 | INFO | 1 change detected
2025-06-02 13:07:31,887 | INFO | 1 change detected
2025-06-02 13:07:32,293 | INFO | 1 change detected
2025-06-02 13:07:32,701 | INFO | 1 change detected
2025-06-02 13:07:33,104 | INFO | 1 change detected
2025-06-02 13:07:33,509 | INFO | 1 change detected
2025-06-02 13:07:33,913 | INFO | 1 change detected
2025-06-02 13:07:34,316 | INFO | 1 change detected
2025-06-02 13:07:34,721 | INFO | 1 change detected
2025-06-02 13:07:35,128 | INFO | 1 change detected
2025-06-02 13:07:35,531 | INFO | 1 change detected
2025-06-02 13:07:35,939 | INFO | 1 change detected
2025-06-02 13:07:36,344 | INFO | 1 change detected
2025-06-02 13:07:36,762 | INFO | 1 change detected
2025-06-02 13:07:37,165 | INFO | 1 change detected
2025-06-02 13:07:37,573 | INFO | 1 change detected
2025-06-02 13:07:37,980 | INFO | 1 change detected
2025-06-02 13:07:38,386 | INFO | 1 change detected
2025-06-02 13:07:38,791 | INFO | 1 change detected
2025-06-02 13:07:39,145 | INFO | 1 change detected
2025-06-02 13:07:39,559 | INFO | 1 change detected
2025-06-02 13:07:39,966 | INFO | 1 change detected
2025-06-02 13:07:40,378 | INFO | 1 change detected
2025-06-02 13:07:40,736 | INFO | 1 change detected
2025-06-02 13:07:41,303 | INFO | 43 changes detected
2025-06-02 13:07:41,712 | INFO | 1 change detected
2025-06-02 13:07:42,131 | INFO | 1 change detected
2025-06-02 13:07:42,495 | INFO | 1 change detected
2025-06-02 13:07:42,904 | INFO | 2 changes detected
2025-06-02 13:07:43,311 | INFO | 1 change detected
2025-06-02 13:07:43,715 | INFO | 1 change detected
2025-06-02 13:07:44,120 | INFO | 1 change detected
2025-06-02 13:07:44,525 | INFO | 1 change detected
2025-06-02 13:07:44,935 | INFO | 1 change detected
2025-06-02 13:07:45,391 | INFO | 7 changes detected
2025-06-02 13:07:45,745 | INFO | 1 change detected
2025-06-02 13:07:46,152 | INFO | 1 change detected
2025-06-02 13:07:46,558 | INFO | 1 change detected
2025-06-02 13:07:46,963 | INFO | 1 change detected
2025-06-02 13:07:47,365 | INFO | 1 change detected
2025-06-02 13:07:47,768 | INFO | 1 change detected
2025-06-02 13:07:48,184 | INFO | 1 change detected
2025-06-02 13:07:48,551 | INFO | 1 change detected
